"mass","age","cores","RAM","color","power","evil"
97.03,24,28,152,"blue","propane",0
98.3,26,24,152,"black","propane",0
95.26,29,22,104,"black","propane",0
114.34,31,24,144,"blue","propane",0
93.12,58,16,120,"black","hydrogen",0
104.02,32,26,168,"red","battery",0
106.15,28,26,128,"black","battery",0
95.25,28,NA,144,"black","battery",0
89.92,61,10,120,"black","propane",0
96.5,28,20,152,"black","battery",0
103.72,NA,19,160,"red","battery",0
122.67,56,20,136,"black","battery",0
92.2,21,22,160,"blue","propane",0
NA,52,NA,88,"black","battery",0
93.8,25,26,152,"red","propane",0
95.57,20,18,120,"blue","battery",0
100.77,24,14,128,"blue","battery",0
93.08,52,20,88,"black","battery",0
95.42,NA,20,104,"red","battery",0
106.06,27,27,120,"black","battery",0
76.39,30,21,168,"black","battery",0
74.89,25,18,80,"black","battery",0
87.13,31,16,128,"black","hydrogen",0
103.82,27,21,136,"red","battery",0
93.1,51,26,96,"red","propane",0
109.83,56,20,144,"blue","hydrogen",0
105.13,28,24,120,"black","battery",0
120.63,58,20,104,"black","hydrogen",0
113.78,23,22,152,"black","hydrogen",0
110.55,31,28,120,"blue","propane",0
73.15,32,22,NA,"black","battery",0
120.1,28,28,176,"red","hydrogen",0
93.73,27,20,120,"blue","propane",0
91.82,52,14,144,"black","battery",0
90.74,30,20,128,"black","propane",0
97.47,30,24,96,"blue","battery",0
96.31,28,22,128,"blue","battery",0
95.89,24,16,96,"red","hydrogen",0
99.52,27,22,96,"blue","propane",0
105.43,26,20,152,"blue","battery",0
103.08,28,24,120,"black","battery",0
96.46,24,22,136,"red","battery",0
106.09,28,18,144,"black","hydrogen",0
103.75,30,20,104,"black","hydrogen",0
125.52,51,20,112,"black","battery",0
105.65,24,30,144,"blue","propane",0
98.8,32,24,144,"black","propane",0
116.2,14,32,144,"red","propane",0
109.19,56,14,112,"black","propane",0
114.82,54,22,144,"black","hydrogen",0
82.05,54,14,120,"red","battery",0
86.84,27,22,88,"blue","propane",0
100.3,60,16,136,"black","propane",0
94.52,57,20,120,"black","battery",0
103.97,29,22,136,"red","hydrogen",0
117.63,27,28,144,"blue","battery",0
86.06,22,20,136,"blue","battery",0
95.56,27,NA,136,"black","propane",0
94.38,56,10,144,"red","battery",0
131.79,58,26,168,"red","hydrogen",1
92.32,53,18,136,"black","battery",0
95.2,50,18,120,"black","battery",0
93.12,23,24,152,"blue","battery",0
106.62,29,28,152,"blue","battery",0
109.02,54,24,168,"black","hydrogen",0
105.32,26,18,NA,"red","hydrogen",0
98.05,23,21,128,"blue","battery",0
77.6,54,10,112,"black","battery",0
109.81,58,14,96,"black","hydrogen",0
109.65,28,14,136,"blue","hydrogen",0
101.16,52,20,112,"black","battery",0
110.63,26,26,152,"red","propane",0
NA,NA,22,136,"blue","battery",0
113.37,53,22,120,"black","hydrogen",0
123.41,NA,28,152,"red","propane",0
103.78,52,14,144,"red","battery",0
109.78,71,16,136,"black","propane",0
116.64,28,26,136,"black","hydrogen",0
95.21,25,30,144,"red","propane",0
105.22,30,24,136,"black","propane",0
120.44,23,24,168,"black","battery",0
100.65,23,22,160,"blue","hydrogen",0
79.39,27,17,144,"red","battery",0
90.04,52,16,112,"blue","battery",0
101.17,55,18,104,"black","hydrogen",0
119.61,18,24,136,"blue","hydrogen",0
130.59,24,32,144,"blue","hydrogen",0
108.63,57,32,160,"red","propane",0
98.87,24,NA,112,"red","hydrogen",0
105.58,19,NA,128,"blue","battery",0
108.51,56,26,152,"black","battery",0
104.86,26,28,120,"blue","propane",0
78.3,27,26,112,"black","propane",0
104.65,55,20,144,"black","propane",0
107.72,53,24,152,"black","battery",0
99.77,26,28,NA,"black","propane",0
104.1,27,30,144,"black","battery",0
101.65,25,22,NA,"blue","propane",0
107.96,61,24,128,"black","hydrogen",0
100.6,29,26,120,"black","propane",0
116.05,56,15,112,"black","hydrogen",0
90.15,25,28,136,"black","propane",0
111.62,22,28,128,"blue","hydrogen",0
98.1,29,22,112,"black","battery",0
104.21,24,18,144,"blue","hydrogen",0
100.31,31,22,112,"black","battery",0
95.09,23,28,144,"black","propane",0
100.43,30,23,88,"blue","battery",0
115.85,26,24,136,"red","hydrogen",0
115.11,NA,22,112,"blue","battery",0
112.84,20,30,144,"red","battery",0
88.59,30,24,120,"black","propane",0
95.7,58,14,128,"black","battery",0
100.97,18,26,136,"blue","hydrogen",0
95.98,30,21,152,"black","battery",0
113.14,24,24,136,"blue","hydrogen",0
114.57,53,16,96,"blue","hydrogen",0
105.86,26,20,152,"black","hydrogen",0
77.71,25,24,112,"black","propane",0
102.48,27,22,136,"blue","battery",0
100.65,28,26,152,NA,NA,0
120.25,31,22,160,"black","hydrogen",0
96.88,27,31,112,"black","battery",0
90.87,55,14,88,"black","battery",0
104.39,26,NA,120,"red","hydrogen",0
85.25,25,20,104,"blue","battery",0
93.14,27,16,152,"blue","battery",0
106.94,55,28,144,"red","propane",0
101.46,26,22,128,"black","battery",0
114.75,NA,22,152,"black","propane",0
111.54,21,20,152,"black","hydrogen",0
NA,30,22,136,"red","battery",0
106.84,22,NA,128,"black","propane",0
117.11,57,12,136,NA,NA,0
NA,27,24,128,"blue","battery",0
111.5,26,29,136,"black","hydrogen",0
NA,49,26,NA,"black","battery",0
100.66,49,18,144,"black","battery",0
111.2,28,32,136,"red","propane",0
112.59,54,22,128,NA,NA,0
117.05,32,26,128,"black","battery",0
103.47,55,22,144,"blue","battery",0
109.45,30,NA,128,"blue","hydrogen",0
93.48,26,12,NA,"black","battery",0
129.64,54,18,168,"black","hydrogen",0
103.37,28,28,120,NA,NA,0
NA,NA,28,NA,"black","hydrogen",0
89.78,58,18,120,"blue","battery",0
111.07,25,22,168,"blue","battery",0
78.99,28,24,104,"blue","battery",0
112.42,29,32,144,"red","propane",0
111.15,56,22,128,"black","hydrogen",0
110.09,54,26,144,"black","propane",0
78.71,25,24,112,"black","propane",0
116.16,26,18,136,"blue","battery",0
94.32,61,22,104,"black","propane",0
93.34,17,26,136,"black","hydrogen",0
104.28,27,22,NA,"red","battery",0
88,25,NA,136,"black","battery",0
104.9,53,18,128,"black","hydrogen",0
99.12,29,18,128,"black","hydrogen",0
110.08,57,18,152,"black","battery",0
101.94,28,25,152,"red","battery",0
93.08,NA,20,88,"red","propane",0
105.05,26,20,120,"blue","battery",0
70.28,27,22,136,"red","propane",0
107.16,53,32,112,"black","propane",0
99.3,31,NA,168,"red","propane",0
96.11,54,20,128,"black","battery",0
106.54,53,26,152,"red","battery",0
100.81,25,28,128,"red","propane",0
105.4,58,18,112,"blue","battery",0
108.05,27,28,112,"blue","battery",0
82.63,26,16,104,"blue","battery",0
96.84,28,18,104,"blue","battery",0
103.94,27,NA,128,"red","battery",0
114.32,58,28,136,"blue","propane",0
104.94,22,22,152,"blue","propane",0
95.67,29,24,136,"red","propane",0
102.23,51,14,152,"black","battery",0
109.34,23,24,144,"red","battery",0
100.43,25,18,112,"blue","battery",0
108.31,20,26,128,"blue","battery",0
96.7,19,28,128,"black","hydrogen",0
112.03,25,30,168,"black","propane",0
97.58,NA,18,152,"blue","battery",0
84.57,59,14,104,"black","propane",0
121.37,64,20,152,"black","battery",0
109.6,27,30,168,"red","battery",0
97.75,29,22,104,"red","battery",0
109.4,29,24,136,"black","propane",0
112.85,51,NA,128,"blue","hydrogen",0
104.7,NA,24,96,"red","battery",0
104.31,29,26,104,"black","propane",0
98.22,29,26,128,"black","propane",0
103.79,55,20,120,"black","battery",0
104.9,32,19,112,"black","hydrogen",0
94.65,21,28,120,"black","propane",0
105.97,21,NA,128,"blue","battery",0
98,14,26,112,"red","propane",0
99.3,27,24,168,"blue","propane",0
106.1,27,33,128,"black","propane",0
86.74,23,14,96,"blue","propane",0
102.55,22,28,256,"red","battery",0
117.01,27,28,144,"blue","propane",0
97.27,30,23,144,"blue","propane",0
103.63,55,18,160,"black","hydrogen",0
96.72,52,18,152,"black","propane",0
100.28,22,22,128,"blue","battery",0
107.47,22,NA,152,"blue","hydrogen",1
86.6,26,24,112,"black","propane",0
96.31,59,12,128,"red","battery",0
76.11,25,22,152,"red","battery",0
100.97,55,24,120,"black","battery",0
105.65,22,32,160,"red","propane",0
99.82,28,24,112,"blue","battery",0
77.64,55,NA,96,"black","battery",0
99.59,22,26,128,"blue","propane",0
104.02,22,32,144,"red","battery",0
106.62,50,24,128,"red","battery",0
95.98,52,18,120,"blue","battery",0
109.17,22,34,136,"red","propane",0
109.47,20,14,144,"blue","battery",0
104.99,28,22,120,"black","propane",0
107.87,30,32,104,"black","propane",0
103.74,28,20,168,"black","battery",0
99.95,32,16,152,"black","battery",1
107.78,24,22,NA,"black","battery",0
119.99,54,22,144,"blue","hydrogen",0
123.8,26,20,128,"black","battery",0
104.31,51,26,168,"red","propane",0
86.21,27,20,128,"red","hydrogen",0
89.39,53,20,144,"black","propane",0
119.2,25,22,144,"black","hydrogen",0
94.62,54,12,136,"black","battery",1
109.54,29,24,152,"blue","propane",0
83.86,NA,10,112,"black","battery",0
107.45,52,18,112,"black","hydrogen",0
99.07,60,16,96,"black","battery",0
106.43,28,24,NA,"blue","battery",0
104.21,24,24,176,"red","hydrogen",0
99.32,20,22,112,"blue","battery",1
104.31,28,24,96,"blue","hydrogen",0
100.12,58,24,96,"black","propane",0
107,29,20,144,"black","battery",0
102.41,18,26,152,"red","battery",0
109.01,24,26,184,"red","battery",0
95.82,54,18,128,"red","propane",0
88.04,29,18,136,"blue","battery",0
105.08,52,20,128,"black","propane",0
100.19,58,20,120,"black","battery",0
107.17,31,22,120,"black","battery",0
106.43,58,24,112,"black","battery",0
101.02,24,24,168,"red","hydrogen",0
101.46,24,23,112,"red","hydrogen",0
109.41,29,22,NA,"red","battery",0
106.03,30,28,144,"blue","battery",0
95.23,24,24,128,"black","propane",0
105.03,59,24,120,"black","propane",0
105.85,30,24,128,"black","battery",0
99.23,27,28,128,"black","battery",0
94.47,22,26,136,"blue","battery",0
92.79,27,18,136,"black","battery",0
87.26,30,16,112,"black","battery",0
102.98,59,NA,112,"blue","battery",0
85.64,58,NA,120,"black","battery",0
NA,51,30,144,"red","propane",0
101.58,22,28,152,"blue","battery",0
104.31,25,30,152,"red","battery",0
108.81,51,24,144,"black","battery",0
101.72,30,18,176,"black","battery",0
98.85,32,22,136,"black","hydrogen",0
102.48,55,20,120,"black","hydrogen",0
101.55,24,14,144,"red","battery",0
96.76,52,14,136,"red","battery",0
122.41,49,26,152,NA,NA,0
114.07,49,26,168,"blue","propane",1
123.56,26,28,144,"red","hydrogen",0
111.26,29,24,136,"blue","battery",0
86.39,53,18,120,"black","battery",0
116.49,29,24,136,"blue","battery",0
103.04,25,28,160,"red","hydrogen",0
107.5,31,22,136,"red","battery",0
85.63,NA,14,128,"red","battery",0
107.73,27,34,152,"black","hydrogen",0
99.87,52,18,120,"black","battery",0
108.4,22,24,136,"black","battery",0
119.71,58,26,120,"black","hydrogen",0
80.36,28,16,136,"blue","propane",0
97.73,25,20,104,"black","battery",0
117.18,27,34,136,"red","propane",0
101.05,21,26,120,"black","hydrogen",0
90.76,53,16,120,"black","battery",0
109.2,51,29,176,"black","hydrogen",0
123.38,31,20,160,"black","hydrogen",1
107.86,31,26,136,"black","hydrogen",0
106.56,57,18,112,"black","propane",0
92.08,20,24,128,"black","battery",0
108.59,58,24,128,"black","battery",0
127.12,73,20,168,"black","hydrogen",1
93.69,59,8,160,"red","hydrogen",0
90.59,51,14,120,"red","propane",0
105.52,27,21,120,"blue","battery",0
103.01,51,16,152,"black","battery",0
113.86,29,24,168,"red","battery",0
78.27,31,16,72,"black","battery",0
120.37,55,26,128,"blue","hydrogen",0
99.27,31,20,104,"red","hydrogen",0
117.85,52,20,160,"red","hydrogen",0
98.02,61,20,96,"black","battery",0
90.71,31,12,120,"blue","hydrogen",0
101.8,31,30,152,"black","propane",0
85.08,NA,28,120,"black","propane",0
90.8,25,18,128,"black","propane",0
90.79,52,20,144,"black","battery",0
111.8,23,30,152,"red","hydrogen",0
97.7,55,20,120,"blue","propane",0
117.89,29,24,160,"blue","hydrogen",0
NA,30,22,128,"blue","battery",0
89.67,29,20,136,"black","propane",0
96.97,56,14,128,"black","battery",0
84.84,25,22,112,"red","propane",0
93.84,50,23,128,"blue","battery",0
83.81,32,13,152,"black","battery",0
99.46,27,26,144,"black","propane",0
92.55,17,NA,144,"blue","battery",0
106.34,58,20,144,"black","propane",0
104.12,57,20,144,"red","battery",0
125.76,52,26,112,"black","hydrogen",0
76.04,13,26,128,"black","propane",0
101.17,54,19,128,"black","battery",0
94.02,23,21,120,"blue","battery",0
116.92,20,30,168,"red","hydrogen",0
106.8,28,34,152,"red","propane",0
115.34,30,20,152,"black","hydrogen",0
106.05,62,18,104,"black","propane",0
109.42,54,30,128,"black","hydrogen",0
85.65,29,18,96,"black","battery",0
127.84,51,24,144,"black","propane",0
77.65,27,NA,88,"black","propane",0
99.95,22,22,144,"red","battery",0
104.61,31,18,176,"black","battery",0
95.92,21,30,160,"blue","battery",0
102.43,32,22,152,"blue","propane",0
121.99,29,26,136,"black","hydrogen",0
97.34,61,18,104,"blue","battery",0
99.07,28,20,160,"red","battery",0
92.92,28,18,112,"blue","battery",0
96.24,26,NA,128,"blue","propane",0
129.49,52,34,168,"black","hydrogen",0
84.32,24,8,128,"black","battery",1
126.49,60,NA,136,"red","hydrogen",0
99.15,61,18,112,"black","propane",0
89.52,55,16,128,"black","battery",0
115.14,28,20,120,"black","hydrogen",0
107.56,24,20,152,"red","battery",0
NA,51,26,152,"black","propane",0
106.51,64,24,128,"black","hydrogen",0
99.55,21,16,104,"blue","battery",0
NA,55,24,136,"red","propane",0
99.15,22,30,144,"black","propane",0
111.91,56,20,120,"black","hydrogen",0
81.05,54,10,136,"red","battery",0
103.02,28,27,160,"blue","hydrogen",0
84.67,60,NA,152,"black","battery",0
98.08,27,24,168,"black","hydrogen",0
131.69,20,34,176,"black","hydrogen",0
107.18,26,18,168,"red","battery",0
103.22,21,22,128,"blue","battery",0
94.56,26,20,112,"blue","hydrogen",0
127.91,23,31,512,"blue","propane",0
